Parameter Name,Parameter Value
1"_clearance,No
12"_clearance,No
4.5"_clearance,Yes
9"_clearance,No
Area,8 SF
Category,Specialty Equipment
Category,Specialty Equipment
Circuit Number,
Comments,(No Value)
Design Option,-1
Elevation from Level,0' - 0"
Export to IFC,By Type
Export to IFC As,(No Value)
Family,3X8X_panel_v1_2025_06_26
Family and Type,3X8X_panel_v1_2025_06_26: 3X8X_panel_v1_2025_06_26
Family Name,(No Value)
Host,Level : L1
Host Id,-1
IFC Predefined Type,(No Value)
IfcGUID,2L2KuTCxz85BrTnJ$On1yn
Image,(No Value)
Level,L1
Level,L1
Mark,(No Value)
Material,<By Category>
Moves With Nearby Elements,No
Offset from Host,0' - 0"
Panel,
panel_component_id,1234
panel_floor_clearance,0' - 4 1/2"
panel_floor_clearance_selector,2
panel_height,8' - 0"
panel_height_desired,8' - 0"
panel_inline_left_side,Yes
panel_inline_right_side,No
panel_notching_left_side,No
panel_notching_right_side,No
panel_notching_x_dist,0' - 0 7/16"
panel_notching_y_dist,0' - 3 5/16"
panel_series_id,3082G
panel_thickness,0' - 0 1/2"
panel_width,1' - 0"
panel_width_desired,1' - 0"
panel_work_order_number,abcde1234567
Phase Created,New Construction
Phase Demolished,None
Type,3X8X_panel_v1_2025_06_26
Type Id,1241333
Type Name,(No Value)
Volume,0.33 CF
